	Adult_FG_1	Adult_FG_2	Adult_FG_3	Adult_OV_1	Adult_OV_2	Adult_OV_3
FUN_000143-T1	20	61	17	33	87	41
FUN_000144-T1	6	14	5	12	27	5
FUN_000145-T1	70	155	67	103	401	92
FUN_000146-T1	128	253	83	74	297	86
FUN_000147-T1	33	113	28	16	59	17
FUN_000148-T1	33	71	26	33	106	24
FUN_000149-T1	0	2	0	7	4	3
FUN_000150-T1	0	0	0	0	0	0
FUN_000151-T1	0	0	0	0	0	1
FUN_000152-T1	0	0	0	0	0	0
FUN_000153-T1	44	72	40	74	178	49
FUN_000154-T1	1	7	0	5	7	0
FUN_000155-T1	2	7	3	2	8	1
FUN_000156-T1	1	9	2	3	39	4
FUN_000157-T1	26	34	9	19	75	27
FUN_000158-T1	15	14	9	19	30	14
FUN_000159-T1	3	13	10	15	28	10
FUN_000160-T1	0	0	0	0	0	0
FUN_000161-T1	0	0	0	0	0	0
FUN_000162-T1	0	0	0	0	0	0
FUN_000163-T1	0	1	0	0	1	0
FUN_000164-T1	0	0	0	0	1	0
FUN_000165-T1	0	0	0	0	0	0
FUN_000166-T1	0	0	0	0	0	0
FUN_000167-T1	14	22	4	69	236	55
FUN_000168-T1	0	0	0	0	1	0
FUN_000169-T1	0	0	0	0	0	0
FUN_000170-T1	0	0	0	0	0	0
FUN_000171-T1	0	0	0	0	0	0
FUN_000172-T1	0	0	0	0	0	0
FUN_000173-T1	32	72	11	15	97	31
FUN_000174-T1	51	90	46	73	280	62
FUN_000175-T1	0	0	0	0	0	0
FUN_000176-T1	217	481	135	498	1884	450
FUN_000177-T1	91	223	79	221	772	177
FUN_000178-T1	77	139	61	182	682	163
FUN_000179-T1	93	212	83	212	879	212
FUN_000180-T1	19	16	1	1	7	3
FUN_000181-T1	6	11	2	3	3	0
FUN_000182-T1	44	73	34	14	26	7
FUN_000183-T1	90	153	67	57	191	46
FUN_000184-T1	1	6	13	5	18	6
FUN_000185-T1	0	0	0	0	0	0
FUN_000186-T1	0	0	0	0	0	0
FUN_000187-T1	0	0	0	0	0	0
