	Adult_FG_1	Adult_FG_2	Adult_FG_3	Adult_OV_1	Adult_OV_2	Adult_OV_3
FUN_002976-T1	142	120	51	29	13	16
FUN_002977-T1	2	0	13	0	0	0
FUN_002978-T1	0	0	0	0	0	0
FUN_002979-T1	0	0	0	0	0	0
FUN_002980-T1	2	0	1	0	1	0
FUN_002981-T1	0	0	0	0	0	0
FUN_002982-T1	0	3	0	0	0	0
FUN_002983-T1	0	0	0	0	0	0
FUN_002984-T1	0	0	1	0	0	0
FUN_002985-T1	0	0	2	0	0	0
FUN_002986-T1	0	0	0	0	0	0
FUN_002987-T1	0	0	0	0	0	0
FUN_002988-T1	0	0	0	0	2	0
FUN_002989-T1	0	0	0	0	2	0
FUN_002990-T1	0	0	0	0	0	0
FUN_002991-T1	0	0	0	0	3	0
FUN_002992-T1	0	0	1	0	0	0
FUN_002993-T1	0	1	0	2	6	0
FUN_002994-T1	0	0	0	1	0	0
FUN_002995-T1	0	0	0	0	0	0
FUN_002996-T1	0	0	0	6	20	6
FUN_002997-T1	11	42	13	34	67	13
FUN_002998-T1	0	0	0	0	1	2
FUN_002999-T1	0	0	0	0	0	0
FUN_003000-T1	0	0	0	0	0	0
FUN_003001-T1	2	1	0	6	1	0
FUN_003002-T1	0	0	0	2	5	2
FUN_003003-T1	0	0	0	3	0	0
FUN_003004-T1	0	0	0	0	0	0
FUN_003005-T1	0	0	0	0	0	0
FUN_003006-T1	2	23	3	0	1	0
FUN_003007-T1	0	0	0	0	0	0
FUN_003008-T1	67	156	52	105	308	86
FUN_003009-T1	1	10	1	3	8	5
FUN_003010-T1	2	1	5	1	0	0
FUN_003011-T1	0	0	0	1	1	0
FUN_003012-T1	0	0	0	0	0	0
FUN_003013-T1	0	0	0	0	0	0
FUN_003014-T1	0	0	0	0	0	0
FUN_003015-T1	1	0	5	0	1	0
FUN_003016-T1	0	0	0	0	0	0
FUN_003017-T1	0	0	0	0	0	0
FUN_003018-T1	7	12	3	8	33	5
FUN_003019-T1	0	0	1	0	0	0
FUN_003020-T1	0	0	0	0	0	0
FUN_003021-T1	0	0	0	0	0	0
FUN_003022-T1	0	0	0	0	0	0
FUN_003023-T1	1	19	6	18	69	14
FUN_003024-T1	8	17	3	15	56	10
FUN_003025-T1	0	0	0	0	0	0
FUN_003026-T1	0	0	0	0	0	0
FUN_003027-T1	0	0	0	0	0	0
FUN_003028-T1	0	0	0	0	0	0
FUN_003029-T1	0	0	0	0	0	0
FUN_003030-T1	0	0	0	0	0	0
FUN_003031-T1	0	0	0	0	0	0
FUN_003032-T1	0	1	0	0	0	0
FUN_003033-T1	172	510	156	6	22	8
FUN_003034-T1	137	284	34	62	128	32
FUN_003035-T1	4	16	3	0	14	3
FUN_003036-T1	0	1	0	0	0	1
FUN_003037-T1	13	21	2	5	11	11
FUN_003038-T1	35	55	5	13	29	11
FUN_003039-T1	111	237	51	74	244	81
FUN_003040-T1	44	52	13	19	41	14
FUN_003041-T1	6	34	9	9	33	9
FUN_003042-T1	28	62	9	59	188	50
FUN_003043-T1	36	105	23	25	131	25
FUN_003044-T1	2	5	0	6	1	2
FUN_003045-T1	0	1	0	0	0	0
FUN_003046-T1	0	0	0	0	0	0
FUN_003047-T1	22	60	16	44	96	14
FUN_003048-T1	0	0	0	0	0	0
FUN_003049-T1	0	0	0	0	0	0
FUN_003050-T1	0	1	1	0	0	0
FUN_003051-T1	0	0	0	0	0	0
FUN_003052-T1	26	107	19	0	10	2
FUN_003053-T1	58	222	55	70	289	57
FUN_003054-T1	1	0	0	0	0	0
FUN_003055-T1	7	22	24	22	71	9
FUN_003056-T1	6	21	7	9	49	18
FUN_003057-T1	118	197	91	33	147	33
FUN_003058-T1	0	0	0	0	0	0
FUN_003059-T1	0	1	2	0	0	0
FUN_003060-T1	0	0	0	0	0	0
FUN_003061-T1	0	0	0	0	0	0
FUN_003062-T1	0	0	0	0	0	0
FUN_003063-T1	0	0	0	0	0	0
FUN_003064-T1	0	0	0	0	0	0
FUN_003065-T1	0	0	0	0	0	0
FUN_003066-T1	1	0	0	0	0	0
FUN_003067-T1	0	0	0	0	0	0
FUN_003068-T1	0	0	0	0	0	0
FUN_003069-T1	0	0	0	0	0	0
FUN_003070-T1	0	0	0	0	0	0
FUN_003071-T1	0	0	0	0	0	0
FUN_003072-T1	0	0	0	0	0	0
FUN_003073-T1	0	0	0	0	0	0
FUN_003074-T1	0	0	0	0	0	0
FUN_003075-T1	0	0	0	0	0	0
FUN_003076-T1	0	0	0	0	0	0
FUN_003077-T1	0	0	0	0	0	0
FUN_003078-T1	0	0	0	0	0	0
FUN_003079-T1	114	290	99	167	534	125
FUN_003080-T1	0	0	0	0	0	0
FUN_003081-T1	0	0	0	0	0	0
FUN_003082-T1	5	19	4	7	19	3
FUN_003083-T1	0	0	0	0	0	0
FUN_003084-T1	13	55	18	11	45	10
FUN_003085-T1	0	0	0	0	0	0
FUN_003086-T1	29	88	31	18	86	25
FUN_003087-T1	0	0	0	0	0	0
FUN_003088-T1	0	0	0	0	0	0
FUN_003089-T1	2	7	1	0	3	2
FUN_003090-T1	135	292	121	107	533	136
FUN_003091-T1	3	6	3	0	11	2
FUN_003092-T1	0	0	0	0	0	0
FUN_003093-T1	14	26	14	16	24	8
FUN_003094-T1	43	16	57	0	3	1
FUN_003095-T1	5	6	0	0	5	0
FUN_003096-T1	11	23	9	4	20	3
FUN_003097-T1	1	7	0	0	2	1
FUN_003098-T1	0	1	0	0	0	0
FUN_003099-T1	0	0	2	0	0	0
FUN_003100-T1	0	0	0	0	0	0
FUN_003101-T1	0	1	0	0	3	0
FUN_003102-T1	0	0	0	0	0	0
FUN_003103-T1	0	0	0	0	0	3
FUN_003104-T1	0	0	0	0	0	0
FUN_003105-T1	0	0	0	0	0	0
FUN_003106-T1	0	0	0	0	0	0
FUN_003107-T1	0	1	0	0	0	0
FUN_003108-T1	0	0	0	0	1	0
FUN_003109-T1	0	0	0	0	0	0
FUN_003110-T1	0	0	0	0	0	0
FUN_003111-T1	0	0	0	0	0	0
FUN_003112-T1	0	0	0	0	0	0
FUN_003113-T1	0	0	0	0	0	0
FUN_003114-T1	0	0	0	0	0	0
FUN_003115-T1	0	0	0	0	0	0
FUN_003116-T1	0	0	0	0	0	0
FUN_003117-T1	0	0	0	0	0	0
FUN_003118-T1	2	3	0	0	0	0
FUN_003119-T1	0	0	0	0	0	0
FUN_003120-T1	0	0	0	0	0	0
FUN_003121-T1	0	0	0	0	0	0
FUN_003122-T1	0	2	0	0	0	0
FUN_003123-T1	0	0	0	0	0	0
FUN_003124-T1	0	1	1	0	0	0
FUN_003125-T1	0	0	0	0	0	0
FUN_003126-T1	0	0	0	0	0	0
FUN_003127-T1	0	0	0	0	0	0
FUN_003128-T1	0	0	0	0	0	0
FUN_003129-T1	0	0	0	0	0	0
FUN_003130-T1	0	0	0	0	0	0
FUN_003131-T1	0	0	0	0	0	0
FUN_003132-T1	0	0	0	0	0	0
FUN_003133-T1	0	0	0	0	0	0
FUN_003134-T1	0	0	0	0	0	0
FUN_003135-T1	0	1	0	0	0	0
FUN_003136-T1	0	0	0	0	0	0
FUN_003137-T1	0	0	0	0	0	0
FUN_003138-T1	0	0	0	0	1	0
FUN_003139-T1	0	0	0	0	0	0
FUN_003140-T1	0	0	0	0	0	0
FUN_003141-T1	0	0	0	0	0	0
FUN_003142-T1	0	0	0	0	0	0
FUN_003143-T1	0	0	0	0	0	0
FUN_003144-T1	0	0	0	0	0	0
FUN_003145-T1	0	0	0	0	0	0
FUN_003146-T1	0	0	0	0	0	0
FUN_003147-T1	0	0	0	0	0	0
FUN_003148-T1	0	1	0	0	0	1
FUN_003149-T1	0	0	0	0	0	0
FUN_003150-T1	0	0	0	0	0	0
FUN_003151-T1	12	126	36	8	141	26
FUN_003152-T1	0	0	0	0	0	0
FUN_003153-T1	0	0	0	0	0	0
FUN_003154-T1	1	1	6	0	0	0
FUN_003155-T1	0	0	0	0	0	0
FUN_003156-T1	0	1	0	0	0	0
FUN_003157-T1	0	0	0	0	0	0
FUN_003158-T1	0	0	0	0	0	0
FUN_003159-T1	0	0	0	0	0	0
FUN_003160-T1	126	65	18	148	101	24
FUN_003161-T1	0	0	0	0	0	0
FUN_003162-T1	0	0	0	0	1	0
FUN_003163-T1	0	0	0	0	0	0
FUN_003164-T1	0	0	0	0	2	38
FUN_003165-T1	0	2	0	0	0	0
FUN_003166-T1	1	5	2	4	38	7
FUN_003167-T1	40	63	17	23	102	36
FUN_003168-T1	335	791	259	491	1353	432
FUN_003169-T1	23	55	24	63	202	47
FUN_003170-T1	850	1751	614	890	2952	790
FUN_003171-T1	0	0	0	0	0	0
FUN_003172-T1	0	0	0	0	0	0
FUN_003173-T1	0	0	0	0	0	0
FUN_003174-T1	42	41	22	15	34	18
FUN_003175-T1	0	0	0	0	0	0
FUN_003176-T1	0	9	4	7	26	5
FUN_003177-T1	36	76	29	71	289	132
FUN_003178-T1	0	0	0	0	0	0
FUN_003179-T1	9	90	16	28	93	29
FUN_003180-T1	1	0	0	0	0	0
FUN_003181-T1	34	117	21	56	165	27
FUN_003182-T1	205	291	179	122	582	125
FUN_003183-T1	0	0	0	0	0	0
FUN_003184-T1	0	0	0	0	0	0
FUN_003185-T1	0	0	0	0	0	0
FUN_003186-T1	0	0	0	0	0	0
FUN_003187-T1	0	0	0	0	0	0
FUN_003188-T1	0	0	0	0	0	0
FUN_003189-T1	0	1	0	1	0	0
FUN_003190-T1	0	0	0	0	0	0
FUN_003191-T1	0	0	0	0	0	0
FUN_003192-T1	0	0	0	0	0	0
FUN_003193-T1	0	0	0	0	0	0
FUN_003194-T1	0	0	0	0	0	0
FUN_003195-T1	0	0	0	0	0	0
FUN_003196-T1	0	0	0	0	0	0
FUN_003197-T1	0	0	0	0	0	0
FUN_003198-T1	0	0	0	0	0	0
FUN_003199-T1	0	0	0	0	0	0
FUN_003200-T1	0	0	0	0	0	0
FUN_003201-T1	0	0	2	0	0	0
FUN_003202-T1	8	3	1	0	1	0
FUN_003203-T1	0	0	0	0	0	0
FUN_003204-T1	0	0	1	0	1	0
FUN_003205-T1	5	13	2	0	6	2
FUN_003206-T1	68	131	44	91	349	80
FUN_003207-T1	5	17	10	0	1	0
FUN_003208-T1	0	0	0	0	0	0
FUN_003209-T1	66	104	29	33	161	33
FUN_003210-T1	22	141	26	1	7	2
FUN_003211-T1	0	0	1	0	0	0
FUN_003212-T1	0	0	0	0	0	0
FUN_003213-T1	16	33	33	69	161	48
FUN_003214-T1	32	18	18	101	144	33
FUN_003215-T1	233	246	186	570	1309	485
FUN_003216-T1	2115	4163	1536	3345	11316	2865
FUN_003217-T1	0	0	0	0	0	0
FUN_003218-T1	0	0	0	0	0	0
FUN_003219-T1	3	13	1	2	16	0
FUN_003220-T1	34	133	34	33	185	49
FUN_003221-T1	0	0	0	0	0	0
FUN_003222-T1	117	256	83	79	199	69
FUN_003223-T1	11	14	1	6	22	13
FUN_003224-T1	65	159	44	74	256	51
FUN_003225-T1	0	0	0	0	0	0
FUN_003226-T1	0	0	0	0	0	1
FUN_003227-T1	0	0	1	1	2	0
FUN_003228-T1	93	106	40	56	129	47
FUN_003229-T1	0	1	0	0	0	0
FUN_003230-T1	9	30	6	36	88	22
FUN_003231-T1	5	30	12	17	43	21
FUN_003232-T1	5	19	5	6	29	3
FUN_003233-T1	0	4	0	0	0	0
FUN_003234-T1	1	43	9	5	61	16
FUN_003235-T1	0	0	0	0	0	0
FUN_003236-T1	0	0	0	0	0	0
FUN_003237-T1	0	0	0	0	0	0
FUN_003238-T1	0	3	0	0	0	0
FUN_003239-T1	1	0	0	0	3	0
FUN_003240-T1	0	0	0	0	0	0
FUN_003241-T1	0	0	0	0	0	0
FUN_003242-T1	0	0	0	0	0	0
FUN_003243-T1	0	0	0	0	0	0
FUN_003244-T1	0	0	0	0	0	0
FUN_003245-T1	0	0	0	0	0	0
FUN_003246-T1	0	0	0	0	0	0
FUN_003247-T1	0	0	0	0	0	0
FUN_003248-T1	0	0	0	0	0	0
FUN_003249-T1	0	0	0	0	0	0
FUN_003250-T1	0	0	0	0	0	0
FUN_003251-T1	0	0	0	0	0	0
FUN_003252-T1	3	0	0	0	3	0
FUN_003253-T1	2	1	3	0	0	0
FUN_003254-T1	9	33	8	27	95	35
FUN_003255-T1	0	0	0	0	0	0
FUN_003256-T1	0	0	0	0	0	0
FUN_003257-T1	17	79	14	31	122	33
FUN_003258-T1	51	217	63	124	387	101
FUN_003259-T1	44	98	32	35	126	46
FUN_003260-T1	0	0	0	0	0	0
FUN_003261-T1	22	63	24	91	301	87
FUN_003262-T1	0	0	0	0	1	0
FUN_003263-T1	15	43	8	25	61	21
FUN_003264-T1	12	38	13	24	151	27
FUN_003265-T1	0	0	0	0	0	0
FUN_003266-T1	0	0	0	0	0	0
FUN_003267-T1	0	0	0	0	0	0
FUN_003268-T1	0	0	0	0	0	0
FUN_003269-T1	0	0	0	0	1	0
FUN_003270-T1	0	0	0	0	1	0
FUN_003271-T1	0	0	0	0	0	0
FUN_003272-T1	0	0	0	0	0	0
FUN_003273-T1	8	17	1	25	212	54
FUN_003274-T1	0	0	0	2	42	6
FUN_003275-T1	1	1	0	1	0	0
FUN_003276-T1	0	0	0	0	0	0
FUN_003277-T1	0	0	0	0	0	0
FUN_003278-T1	11	19	3	13	37	11
FUN_003279-T1	63	134	35	108	237	72
FUN_003280-T1	11	35	11	3	47	2
FUN_003281-T1	0	1	0	1	1	0
FUN_003282-T1	36	101	20	54	193	50
FUN_003283-T1	0	0	0	0	0	0
FUN_003284-T1	0	0	0	0	0	0
FUN_003285-T1	0	0	0	0	0	0
FUN_003286-T1	0	0	0	0	0	0
FUN_003287-T1	0	0	0	0	0	0
FUN_003288-T1	0	0	0	0	0	0
FUN_003289-T1	0	9	1	0	7	0
FUN_003290-T1	0	0	0	0	0	0
FUN_003291-T1	0	0	0	0	0	0
FUN_003292-T1	0	0	0	0	0	0
FUN_003293-T1	0	2	0	0	0	0
FUN_003294-T1	0	0	0	0	0	0
FUN_003295-T1	0	4	1	0	0	0
FUN_003296-T1	0	0	0	0	0	0
FUN_003297-T1	0	0	0	0	0	1
FUN_003298-T1	0	0	0	0	1	0
FUN_003299-T1	0	0	0	0	0	0
FUN_003300-T1	0	0	0	0	0	0
FUN_003301-T1	0	0	0	0	0	0
FUN_003302-T1	1	0	0	0	1	5
FUN_003303-T1	0	0	0	0	2	0
FUN_003304-T1	0	0	0	0	0	0
FUN_003305-T1	47	169	44	47	168	51
FUN_003306-T1	16	40	8	17	55	6
FUN_003307-T1	71	304	106	189	586	127
FUN_003308-T1	46	153	53	76	280	65
FUN_003309-T1	125	404	146	114	447	116
FUN_003310-T1	0	0	0	0	0	0
FUN_003311-T1	2	0	0	0	0	0
FUN_003312-T1	0	0	0	0	0	0
FUN_003313-T1	1157	3155	1046	1724	5469	1514
FUN_003314-T1	0	3	2	0	2	0
FUN_003315-T1	0	0	0	0	0	0
FUN_003316-T1	0	0	0	0	0	0
FUN_003317-T1	0	0	0	0	0	0
FUN_003318-T1	0	0	0	0	0	0
FUN_003319-T1	0	0	0	0	0	0
FUN_003320-T1	0	0	0	0	0	0
FUN_003321-T1	0	0	0	0	0	0
FUN_003322-T1	0	0	0	0	0	0
FUN_003323-T1	0	0	0	0	0	0
FUN_003324-T1	0	6	3	0	7	0
FUN_003325-T1	0	1	1	2	0	1
FUN_003326-T1	0	1	1	0	0	0
FUN_003327-T1	25	112	31	32	122	36
FUN_003328-T1	19	40	27	31	63	25
FUN_003329-T1	20	59	19	15	87	12
FUN_003330-T1	88	254	70	193	518	139
FUN_003331-T1	13	61	16	35	75	42
FUN_003332-T1	0	0	0	0	0	0
FUN_003333-T1	62	197	85	221	709	154
FUN_003334-T1	22	96	28	24	102	27
FUN_003335-T1	6	1	1	1	0	1
FUN_003336-T1	0	0	0	0	0	0
FUN_003337-T1	12	34	9	7	48	13
FUN_003338-T1	1	4	0	0	0	0
FUN_003339-T1	60	218	79	116	470	102
FUN_003340-T1	18	74	17	41	79	25
FUN_003341-T1	22	31	4	1	0	0
FUN_003342-T1	1	1	2	0	0	0
FUN_003343-T1	66	192	65	32	130	29
FUN_003344-T1	38	153	26	48	178	61
FUN_003345-T1	268	696	206	482	1473	349
FUN_003346-T1	40	95	25	42	129	27
FUN_003347-T1	0	0	3	0	0	2
FUN_003348-T1	5448	13175	6438	4366	20630	4354
FUN_003349-T1	0	0	3	0	0	2
FUN_003350-T1	23	83	35	5	21	6
FUN_003351-T1	0	0	0	0	0	0
FUN_003352-T1	0	2	0	8	34	5
FUN_003353-T1	0	0	0	0	0	0
FUN_003354-T1	0	0	0	0	0	0
FUN_003355-T1	0	0	0	0	0	0
FUN_003356-T1	0	0	0	0	0	0
FUN_003357-T1	0	0	0	0	0	0
FUN_003358-T1	0	0	0	0	0	0
FUN_003359-T1	0	0	0	0	0	0
FUN_003360-T1	0	0	3	0	11	2
FUN_003361-T1	0	0	0	0	0	0
FUN_003362-T1	0	0	0	0	0	0
FUN_003363-T1	4	5	4	3	4	2
FUN_003364-T1	487	1329	422	697	2296	495
FUN_003365-T1	2	0	0	11	11	6
FUN_003366-T1	0	0	0	0	0	2
FUN_003367-T1	21	17	17	9	20	8
FUN_003368-T1	0	1	0	0	3	0
FUN_003369-T1	17	50	9	35	68	18
FUN_003370-T1	97	470	115	169	759	117
FUN_003371-T1	121	274	106	140	568	117
FUN_003372-T1	12	44	12	23	108	31
FUN_003373-T1	0	0	0	0	0	0
FUN_003374-T1	9	31	6	18	69	11
FUN_003375-T1	1	17	13	16	55	12
FUN_003376-T1	8	29	10	23	76	10
FUN_003377-T1	0	0	0	0	0	0
FUN_003378-T1	28	233	45	15	39	19
FUN_003379-T1	2	20	3	0	0	0
FUN_003380-T1	0	0	0	0	0	0
FUN_003381-T1	0	3	0	0	0	0
FUN_003382-T1	0	0	0	0	0	0
FUN_003383-T1	0	14	2	0	1	0
FUN_003384-T1	0	0	0	0	0	0
FUN_003385-T1	2	0	0	0	2	0
FUN_003386-T1	0	0	0	0	0	0
FUN_003387-T1	0	0	0	0	0	0
FUN_003388-T1	17	0	20	60	157	55
FUN_003389-T1	0	0	0	0	0	0
FUN_003390-T1	21	112	27	31	29	10
FUN_003391-T1	9	16	5	22	58	13
FUN_003392-T1	0	1	0	0	0	0
FUN_003393-T1	125	116	52	153	540	183
FUN_003394-T1	50	138	51	23	122	45
FUN_003395-T1	0	0	2	0	0	0
FUN_003396-T1	23	85	25	37	129	31
FUN_003397-T1	0	0	0	0	0	0
FUN_003398-T1	16	59	8	10	44	9
FUN_003399-T1	0	3	0	0	3	0
FUN_003400-T1	0	2	2	0	2	0
FUN_003401-T1	0	0	0	0	0	0
FUN_003402-T1	0	0	0	0	0	0
FUN_003403-T1	9	26	6	1	40	5
FUN_003404-T1	28	66	27	34	66	21
FUN_003405-T1	0	0	0	0	0	0
FUN_003406-T1	0	0	0	0	0	0
FUN_003407-T1	33	188	57	77	241	82
FUN_003408-T1	9	32	13	13	57	18
FUN_003409-T1	0	0	0	0	0	0
FUN_003410-T1	0	0	0	0	0	0
FUN_003411-T1	0	0	0	0	0	0
FUN_003412-T1	0	0	0	0	0	0
FUN_003413-T1	0	0	0	0	0	0
FUN_003414-T1	0	0	0	0	0	0
FUN_003415-T1	0	0	0	0	0	0
FUN_003416-T1	0	3	0	0	5	0
FUN_003417-T1	0	0	0	0	0	0
FUN_003418-T1	0	0	0	0	0	0
FUN_003419-T1	0	0	0	0	0	0
FUN_003420-T1	0	0	0	0	0	0
FUN_003421-T1	0	0	0	0	0	0
FUN_003422-T1	0	0	0	0	0	0
FUN_003423-T1	20	50	28	6	4	5
FUN_003424-T1	0	0	0	0	0	0
FUN_003425-T1	0	0	0	0	0	0
FUN_003426-T1	0	0	0	0	0	0
FUN_003427-T1	0	0	0	0	2	0
FUN_003428-T1	0	0	0	0	0	0
FUN_003429-T1	0	0	0	0	0	0
FUN_003430-T1	0	0	0	0	0	0
FUN_003431-T1	0	0	0	0	0	0
FUN_003432-T1	0	0	0	0	0	0
FUN_003433-T1	0	0	0	0	0	0
FUN_003434-T1	0	0	0	0	0	0
FUN_003435-T1	0	0	0	0	0	0
FUN_003436-T1	1	0	0	0	0	0
FUN_003437-T1	0	0	0	0	0	0
FUN_003438-T1	30	174	99	55	108	30
FUN_003439-T1	0	0	0	0	0	0
FUN_003440-T1	0	4	0	3	16	1
FUN_003441-T1	0	0	0	0	0	0
FUN_003442-T1	0	0	0	0	0	0
FUN_003443-T1	0	0	0	0	0	0
FUN_003444-T1	0	0	0	0	0	0
FUN_003445-T1	0	0	0	0	0	0
FUN_003446-T1	0	0	0	0	0	0
FUN_003447-T1	0	0	0	0	0	0
FUN_003448-T1	0	0	0	0	0	0
FUN_003449-T1	0	0	0	0	0	0
FUN_003450-T1	0	0	0	0	0	0
FUN_003451-T1	0	3	0	18	34	9
FUN_003452-T1	0	0	0	7	20	4
FUN_003453-T1	0	0	0	0	0	0
FUN_003454-T1	0	0	0	0	0	0
FUN_003455-T1	0	0	0	0	0	0
FUN_003456-T1	0	0	0	0	0	0
FUN_003457-T1	0	0	0	0	0	0
FUN_003458-T1	0	0	0	0	0	0
FUN_003459-T1	0	0	0	0	0	0
FUN_003460-T1	0	0	0	0	2	0
FUN_003461-T1	0	0	1	0	0	0
FUN_003462-T1	0	4	1	2	3	1
FUN_003463-T1	0	0	0	0	0	0
FUN_003464-T1	0	0	0	0	0	0
FUN_003465-T1	0	6	7	0	7	2
FUN_003466-T1	13	30	8	11	54	14
FUN_003467-T1	20	56	23	23	106	15
FUN_003468-T1	18	85	6	9	49	1
FUN_003469-T1	0	1	0	2	1	0
FUN_003470-T1	19	58	22	16	29	13
FUN_003471-T1	0	0	0	0	0	0
FUN_003472-T1	0	0	0	0	0	0
FUN_003473-T1	0	0	0	0	0	0
FUN_003474-T1	0	4	0	1	0	0
FUN_003475-T1	0	0	0	0	0	0
FUN_003476-T1	0	0	0	0	0	0
FUN_003477-T1	0	0	0	0	0	0
FUN_003478-T1	0	0	0	0	0	0
FUN_003479-T1	0	0	0	0	0	0
FUN_003480-T1	33	150	36	21	96	37
FUN_003481-T1	1	0	0	0	0	0
FUN_003482-T1	2	43	20	0	16	1
FUN_003483-T1	0	4	1	0	0	0
FUN_003484-T1	14	47	13	15	31	5
FUN_003485-T1	0	0	4	1	7	0
FUN_003486-T1	0	0	0	0	0	0
FUN_003487-T1	4	0	0	0	2	0
FUN_003488-T1	0	0	0	0	2	0
FUN_003489-T1	0	0	0	0	0	0
FUN_003490-T1	0	0	0	0	0	0
FUN_003491-T1	0	0	0	0	0	0
FUN_003492-T1	1	14	3	2	19	5
FUN_003493-T1	0	0	0	0	0	0
FUN_003494-T1	0	0	0	0	0	0
FUN_003495-T1	0	0	0	0	0	0
FUN_003496-T1	0	0	0	0	0	0
FUN_003497-T1	0	0	0	0	0	0
FUN_003498-T1	29	81	28	30	107	29
FUN_003499-T1	0	0	0	0	0	0
FUN_003500-T1	0	0	0	0	0	0
FUN_003501-T1	0	0	0	0	0	0
FUN_003502-T1	103	264	82	133	515	134
FUN_003503-T1	31	120	25	89	339	65
FUN_003504-T1	6	40	2	8	33	10
FUN_003505-T1	25	24	9	16	22	3
FUN_003506-T1	0	0	0	0	0	0
FUN_003507-T1	32	128	30	95	226	63
FUN_003508-T1	34	132	51	45	180	65
FUN_003509-T1	2	24	10	14	52	10
FUN_003510-T1	3	13	1	5	1	0
FUN_003511-T1	5	11	0	2	9	0
FUN_003512-T1	0	17	2	4	10	3
FUN_003513-T1	0	0	0	0	0	0
FUN_003514-T1	7	27	9	6	27	9
FUN_003515-T1	0	4	1	5	3	0
FUN_003516-T1	8	13	9	4	26	11
FUN_003517-T1	0	0	0	0	0	0
FUN_003518-T1	3	6	1	12	11	20
FUN_003519-T1	11	30	9	18	53	18
FUN_003520-T1	0	0	0	0	0	0
FUN_003521-T1	27	80	23	63	193	64
FUN_003522-T1	0	0	0	0	0	0
FUN_003523-T1	0	22	8	11	47	11
FUN_003524-T1	19	30	17	114	457	132
FUN_003525-T1	0	0	0	0	2	0
FUN_003526-T1	0	0	0	0	0	0
FUN_003527-T1	16	65	19	423	494	231
FUN_003528-T1	7	14	2	13	57	19
FUN_003529-T1	12	21	4	8	67	22
FUN_003530-T1	19	25	10	11	52	10
FUN_003531-T1	36	94	11	36	129	36
FUN_003532-T1	30	112	39	40	179	52
FUN_003533-T1	2	5	0	2	10	2
FUN_003534-T1	29	112	26	56	156	56
FUN_003535-T1	2	36	6	6	39	17
FUN_003536-T1	19	94	31	38	153	47
FUN_003537-T1	8	53	27	25	116	23
FUN_003538-T1	0	35	4	15	35	9
FUN_003539-T1	139	308	88	92	231	72
FUN_003540-T1	1	17	1	5	23	0
FUN_003541-T1	1	1	0	1	15	0
FUN_003542-T1	1	0	0	2	9	3
FUN_003543-T1	4	39	11	18	66	21
FUN_003544-T1	1013	2261	905	1182	3380	1107
FUN_003545-T1	0	0	0	0	0	0
FUN_003546-T1	0	0	0	0	0	0
FUN_003547-T1	0	0	0	0	0	0
FUN_003548-T1	0	0	0	0	0	0
FUN_003549-T1	0	0	1	0	0	0
FUN_003550-T1	0	0	0	0	0	0
FUN_003551-T1	0	0	0	0	0	0
FUN_003552-T1	0	0	0	10	1	0
FUN_003553-T1	38	65	24	55	163	37
FUN_003554-T1	158	1397	213	386	1488	345
FUN_003555-T1	39	137	50	99	268	76
FUN_003556-T1	12	26	8	18	50	8
FUN_003557-T1	0	0	0	0	0	0
FUN_003558-T1	0	0	0	0	0	0
FUN_003559-T1	363	1100	336	453	1567	422
FUN_003560-T1	0	0	0	0	0	0
FUN_003561-T1	44	149	34	60	226	53
FUN_003562-T1	11	16	7	4	35	17
FUN_003563-T1	7	12	3	17	33	7
FUN_003564-T1	60	151	57	77	315	62
FUN_003565-T1	0	1	0	0	0	0
FUN_003566-T1	0	0	0	0	0	0
FUN_003567-T1	0	0	0	0	0	0
FUN_003568-T1	0	0	0	0	0	0
FUN_003569-T1	0	0	0	0	0	0
FUN_003570-T1	4	13	5	5	5	7
FUN_003571-T1	878	1225	310	440	1136	275
FUN_003572-T1	0	0	0	0	0	0
FUN_003573-T1	1	0	0	0	0	0
FUN_003574-T1	0	0	0	0	0	0
FUN_003575-T1	0	0	0	4	12	6
FUN_003576-T1	0	0	0	0	1	0
FUN_003577-T1	0	0	0	0	0	0
FUN_003578-T1	0	1	0	0	0	0
FUN_003579-T1	0	0	0	0	0	0
FUN_003580-T1	0	0	0	0	1	0
FUN_003581-T1	38	293	83	190	581	151
FUN_003582-T1	0	0	0	0	0	0
FUN_003583-T1	9	27	9	12	40	6
FUN_003584-T1	33	62	25	61	153	28
FUN_003585-T1	74	331	88	53	87	50
FUN_003586-T1	30	79	12	30	132	38
FUN_003587-T1	0	22	4	21	54	16
FUN_003588-T1	188	271	95	48	91	22
FUN_003589-T1	0	0	0	0	0	1
FUN_003590-T1	0	0	0	0	0	0
FUN_003591-T1	0	0	0	0	0	0
FUN_003592-T1	0	0	0	0	0	0
FUN_003593-T1	0	0	0	0	0	0
FUN_003594-T1	0	0	0	0	0	0
FUN_003595-T1	3	14	7	1	20	7
FUN_003596-T1	13	61	22	10	51	15
FUN_003597-T1	3	8	1	0	5	1
FUN_003598-T1	0	0	0	0	0	0
FUN_003599-T1	0	0	0	0	0	0
FUN_003600-T1	0	0	0	0	0	0
FUN_003601-T1	0	0	0	0	0	0
FUN_003602-T1	0	0	0	0	0	0
FUN_003603-T1	0	0	0	0	0	0
FUN_003604-T1	0	0	0	0	0	0
FUN_003605-T1	0	0	0	0	0	0
FUN_003606-T1	0	0	0	0	0	0
FUN_003607-T1	0	0	0	0	0	0
